Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
2026-05-27T16:15:55,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:56,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:56,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:56,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:56,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:56,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:57,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:57,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:57,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:57,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:58,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:58,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:58,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:58,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:58,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:59,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:59,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:59,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:59,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:15:59,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:00,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:00,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:00,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:00,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:00,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:01,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:01,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:01,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:01,0,False,False,False,True,True,MACHINE READY
